LABID,Latitude,Longitude,Mitogenome.haplotype,CR.haplotype,Hawaii,Location,CONTACT_NAME,Restrict_Description,Date_Collected,KKMLocation,Ocean_Basin,category,Working?,Rank,DQuant,concentration,dna.comments,TQuant
108165,13.716666,144.8,,A,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,5/26/12,CNMI,North Pacific,,,,"3,3",,", ",2
108184,14.783333,145.516666,,mtGen72,,Aguijan,ERIN OLESON,Donator requested that PI request permission to use in study,6/8/12,CNMI,North Pacific,,,,3,,,3
108185,14.783333,145.516666,,mtGen72,,Aguijan,ERIN OLESON,Donator requested that PI request permission to use in study,6/8/12,CNMI,North Pacific,,,,"3,3",,", ",3
108189,15.05,145.233333,,A,,Saipan/Tinian,ERIN OLESON,Donator requested that PI request permission to use in study,6/10/12,CNMI,North Pacific,,,,"3,3",,", ",3
108221,13.4,144.6,,A,,Guam West,ERIN OLESON,Donator requested that PI request permission to use in study,3/21/12,CNMI,North Pacific,,,,"3,4",,", ",3
116827,13.519981,144.682678,NA,A,,6.7km NE Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,6/30/13,CNMI,North Pacific,,,,1,,,3
116828,13.528221,144.686133,,A,,6.7km NE Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,6/30/13,CNMI,North Pacific,,,,2,,,3
116829,13.535795,144.692987,NA,A,,12.7km NE Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,6/30/13,CNMI,North Pacific,,,,2,,,3
116830,13.567252,144.716749,,A,,12.7km NE Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,6/30/13,CNMI,North Pacific,,,,3,,,3
116836,13.420477,144.604598,NA,A,,4.76km SSW Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,7/1/13,CNMI,North Pacific,,,,3,,,3
116837,13.424485,144.60465,NA,A,,4.76km SSW Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,7/1/13,CNMI,North Pacific,,,,3,,,3
116838,13.428113,144.604877,,A,,4.76km SSW Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,7/1/13,CNMI,North Pacific,,,,3,,,3
116840,13.434738,144.600837,,A,,4.76km SSW Orote Pt.,ERIN OLESON,Donator requested that PI request permission to use in study,7/1/13,CNMI,North Pacific,,,,3,,,3
143728,13.37176,144.614463,NA,A,,"Guam, 2.8km WNW Agat Marina",ERIN OLESON,Donator requested that PI request permission to use in study,5/25/14,CNMI,North Pacific,,,,"3,1","NA, 35.43",", ",3
143729,13.369804,144.615655,,A,,"Guam, 2.8km WNW Agat Marina",ERIN OLESON,Donator requested that PI request permission to use in study,5/25/14,CNMI,North Pacific,,,,3,,,3
143730,13.367293,144.618031,NA,A,,"Guam, 2.8km WNW Agat Marina",ERIN OLESON,Donator requested that PI request permission to use in study,5/25/14,CNMI,North Pacific,,,,3,,,3
143731,13.366986,144.61859,NA,C,,"Guam, 2.8km WNW Agat Marina",ERIN OLESON,Donator requested that PI request permission to use in study,5/25/14,CNMI,North Pacific,,,,3,,,3
143732,13.351009,144.621692,NA,C,,"Guam, 2.8km WNW Agat Marina",ERIN OLESON,Donator requested that PI request permission to use in study,5/25/14,CNMI,North Pacific,,,,3,,,3
143742,14.241949,145.274043,,A,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,,,,"3,3",,", ",3
143743,14.247953,145.277788,NA,A,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,,,,"3,3",,", ",3
143744,14.249593,145.276074,NA,17,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,,,,3,,,3
143745,14.250212,145.274781,NA,17,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,,,,3,,,3
143746,14.253849,145.269403,NA,A,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,,,,"3,3",,", ",3
143747,14.254425,145.267652,NA,A,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,,,,3,,,3
143748,14.253382,145.260532,NA,A,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,,,,3,,,3
143751,14.114219,145.287332,,A,,"Rota, 10km SE Rota southernmost tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/17/14,CNMI,North Pacific,,,,3,,,3
114348,25.050556,-155.083333,mtGen73,2,,"NORTH EASTERN PACIFIC OCEAN, NORTH OF HAWAIIAN ISLANDS",JAMIE MARCHETTI,"No external permission needed, but donator requests notification when used.",2/13/13,CNP,North Pacific,C3,,,1,,,3
1297,35.25,-122.566666,mtGen35,E,,OFFSHORE,Kerri Danil,,8/28/92,CNP,North Pacific,ETP4,,,"1,1","5652, NA",", ",3
4986,24.75,-113.2,mtGen02,E,,NPAC IFS,JAY BARLOW,,11/3/95,CNP,North Pacific,ETP4,,,2,890,,3
5766,32.25,-118.95,mtGen02,E,,OFFSHORE,JAY BARLOW,,8/14/96,CNP,North Pacific,ETP4,,,"4,4","1468, 82.73",", ",3
8752,34.6,-121.9,mtGen02,E,,OFFSHORE,Kerri Danil,,9/9/97,CNP,North Pacific,ETP4,,,"1,2","408.48, NA",", ",3
74708,28.533333,-147.333333,mtGen68,K,,"HI IFS, NORTH OF HAWAIIAN ISLANDS",JAMIE MARCHETTI,"No external permission needed, but donator requests notification when used.",6/20/08,CNP,North Pacific,Pac2,,,"1,2",,", ",3
4987,24.75,-113.2,,E,,NPAC IFS,JAY BARLOW,,11/3/95,CNP,North Pacific,,,,3,1230,,3
4988,24.75,-113.2,,E,,NPAC IFS,JAY BARLOW,,11/3/95,CNP,North Pacific,,,,1,1540,,1
5765,32.25,-118.95,,E,,OFFSHORE,JAY BARLOW,,8/14/96,CNP,North Pacific,,,,4,220,,3
5767,32.25,-118.95,,E,,OFFSHORE,JAY BARLOW,,8/14/96,CNP,North Pacific,,,,4,1530,,1
114960,23.609452,-166.328195,NA,NA,,27 km SSW of Tern Island,ERIN OLESON,Donator requested that PI request permission to use in study,5/29/13,CNP,North Pacific,,,,1,38.62,,3
4630,26.5,-111,mtGen74,E,,GULF OF CALIFORNIA,JAY BARLOW,,9/18/95,ETP,North Pacific,ETP2,,,"3,3,2","325, NA, 16.24",", , ","3,0"
4642,27.3,-112.05,mtGen09,E,,GULF OF CALIFORNIA,JAY BARLOW,,9/24/95,ETP,North Pacific,ETP2,,,"4,3,2","1260, NA, 34.39",", , ","3,0"
11454,2.033333,-113.066666,mtGen38,E,,ETP IFS,TIM GERRODETTE,,10/19/98,ETP,North Pacific,ETP3,,,3,250,,"3,0"
11526,26.45,-114,mtGen02,E,,BAJA,TIM GERRODETTE,,8/3/98,ETP,North Pacific,ETP4,,,,303,,"3,0"
18191,8.066666,-104.766666,mtGen02,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,ETP4,,,4,,,3
37746,5.166666,-94.666666,mtGen02,E,,ETP IFS,LISA Ballance,,9/26/03,ETP,North Pacific,ETP4,,,1,,,"3,0,3"
37907,27.616666,-115.166666,mtGen02,E,,BAJA,LISA Ballance,,8/2/03,ETP,North Pacific,ETP4,,,3,,,"3,3,3"
38312,22.8,-116.616666,mtGen63,E,,MEXICO IFS,LISA Ballance,,12/5/03,ETP,North Pacific,ETP4,,,2,,,"3,3,3"
37884,8.566666,-85.916666,mtGen15,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,ETP5,,,3,48.12,,"3,1,3"
4629,26.5,-111,,E,,GULF OF CALIFORNIA,JAY BARLOW,,9/18/95,ETP,North Pacific,,,,4,1310,,"0,0"
4644,27.3,-112.05,,E,,GULF OF CALIFORNIA,JAY BARLOW,,9/24/95,ETP,North Pacific,,,,4,1493,,"3,0"
4645,27.3,-112.05,,E,,GULF OF CALIFORNIA,JAY BARLOW,,9/24/95,ETP,North Pacific,,,,4,1218,,"2,0"
4684,25.783333,-110.983333,,E,,GULF OF CALIFORNIA,JAY BARLOW,,10/21/95,ETP,North Pacific,,,,4,823,,"3,0"
11455,2.033333,-113.066666,,E,,ETP IFS,TIM GERRODETTE,,10/19/98,ETP,North Pacific,,,,4,250,,3
11456,2.033333,-113.066666,,E,,ETP IFS,TIM GERRODETTE,,10/19/98,ETP,North Pacific,,,,4,293,,"3,1,1"
11513,28.633333,-115.1,,E,,BAJA,TIM GERRODETTE,,8/2/98,ETP,North Pacific,,,,3,183,,"3,1"
11514,28.633333,-115.1,,E,,BAJA,TIM GERRODETTE,,8/2/98,ETP,North Pacific,,,,4,218,,"3,1"
11525,26.45,-114,,E,,BAJA,TIM GERRODETTE,,8/3/98,ETP,North Pacific,,,,4,120,,"3,0"
11527,26.45,-114,,E,,BAJA,TIM GERRODETTE,,8/3/98,ETP,North Pacific,,,,3,325,,"3,0"
11528,26.45,-114,,E,,BAJA,TIM GERRODETTE,,8/3/98,ETP,North Pacific,,,,4,110,,3
11872,10.116666,-90,,E,,EL SALVADOR,TIM GERRODETTE,,10/21/98,ETP,North Pacific,,,,3,335,,"3,0"
11874,10.116666,-90,,E,,EL SALVADOR,TIM GERRODETTE,,10/21/98,ETP,North Pacific,,,,4,223,,"3,0"
11936,9.083333,-84.983333,,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,,,,3,312,,"3,0"
11937,9.083333,-84.983333,,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,,,,4,,,"3,1"
11938,9.083333,-84.983333,,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,,,,4,305,,"3,3"
11939,9.083333,-84.983333,,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,,,,3,285,,"3,0"
11940,9.083333,-84.983333,,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,,,,4,50,,"3,0"
11941,9.083333,-84.983333,,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,,,,3,485,,"3,0"
11942,9.083333,-84.983333,,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,,,,3,213,,"3,3"
11955,7.2,-82.05,,E,,PANAMA,TIM GERRODETTE,,9/5/98,ETP,North Pacific,,,,4,205,,"3,0"
11956,7.2,-82.05,,E,,PANAMA,TIM GERRODETTE,,9/5/98,ETP,North Pacific,,,,2,243,,"3,1"
11957,7.033333,-82.05,,E,,PANAMA,TIM GERRODETTE,,9/5/98,ETP,North Pacific,,,,3,440,,"3,0"
11958,7.033333,-82.05,,E,,PANAMA,TIM GERRODETTE,,9/5/98,ETP,North Pacific,,,,1,390,,3
11978,10.433333,-110.866666,,5,,CLIPPERTON IS.,TIM GERRODETTE,,9/24/98,ETP,North Pacific,,,,4,73,,"3,3"
12081,7.283333,-78.266666,,4,,PANAMA,TIM GERRODETTE,,11/15/98,ETP,North Pacific,,,,1,255,,"3,0"
12088,7,-81.483333,NA,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,3,,,3
12089,7,-81.483333,,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,3,,,3
12090,7,-81.483333,,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,4,,,"3,0"
12091,7,-81.483333,,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,4,,,"3,0"
12092,7,-81.483333,NA,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,"3,0","484, NA",", Used up for NGS array processing per AmyVC 8/25/14","3,0"
12093,7,-81.483333,,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,4,,,"3,1"
12094,7,-81.483333,,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,3,118,,"3,1"
12096,7,-81.483333,,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,4,,,"3,0"
12097,7,-81.483333,,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,4,,,"3,0"
12098,7,-81.483333,NA,E,,PANAMA,TIM GERRODETTE,,11/23/98,ETP,North Pacific,,,,4,,,"3,0"
16046,8.333333,-83.75,,E,,COSTA RICA,LISA Ballance,,10/8/99,ETP,North Pacific,,,,4,305,,"3,1"
16048,8.333333,-83.75,,E,,COSTA RICA,LISA Ballance,,10/8/99,ETP,North Pacific,,,,4,368,,"3,0"
16049,8.333333,-83.75,,E,,COSTA RICA,LISA Ballance,,10/8/99,ETP,North Pacific,,,,3,233,,"3,1"
16050,8.333333,-83.75,,E,,COSTA RICA,LISA Ballance,,10/8/99,ETP,North Pacific,,,,3,295,,"3,0"
16051,8.333333,-83.75,,E,,COSTA RICA,LISA Ballance,,10/8/99,ETP,North Pacific,,,,4,175,,"3,0"
16052,8.333333,-83.75,,E,,COSTA RICA,LISA Ballance,,10/8/99,ETP,North Pacific,,,,3,368,,"2,0"
16168,8.45,-94.75,,E,,ETP IFS,LISA Ballance,,11/24/99,ETP,North Pacific,,,,4,255,,3
17970,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,2,335,,3
17971,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,,490,,3
17972,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,4,40,,3
17973,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,4,265,,3
17974,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,3,363,,3
17976,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,3,,,3
17978,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,,,,3
17979,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,3,,,3
17980,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,3,,,3
17982,26.916666,-114.783333,,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,,,,3,,,3
18185,8.066666,-104.766666,,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,150,,3
18186,8.066666,-104.766666,NA,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,155,,3
18187,8.066666,-104.766666,,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,,,3
18188,8.066666,-104.766666,,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,,,3
18189,8.066666,-104.766666,,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,,,3
18190,8.066666,-104.766666,,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,,,3
18192,8.066666,-104.766666,NA,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,,,3
18193,8.066666,-104.766666,,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,,,3
18195,8.066666,-104.766666,,E,,ETP IFS,LISA Ballance,,9/22/00,ETP,North Pacific,,,,4,,,3
18259,8.166666,-83.4,,E,,COSTA RICA,LISA Ballance,,10/6/00,ETP,North Pacific,,,,,333,,3
18260,8.166666,-83.4,,E,,COSTA RICA,LISA Ballance,,10/6/00,ETP,North Pacific,,,,,,,3
18289,6.9,-81.666666,,E,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,2,530,,3
18290,6.9,-81.666666,,2,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,3,,,3
18291,6.9,-81.666666,,E,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,4,463,,3
18292,6.9,-81.666666,,E,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,3,,,3
18294,6.9,-81.666666,,E,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,3,213,,3
18295,6.9,-81.666666,,2,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,,203,,3
18296,6.9,-81.666666,,E,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,,60,,3
18297,6.9,-81.666666,,2,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,,,,,240,,3
37747,5.183333,-94.6,,E,,ETP IFS,LISA Ballance,,9/26/03,ETP,North Pacific,,,,1,,,"3,0,3"
37748,5.183333,-94.6,NA,E,,ETP IFS,LISA Ballance,,9/26/03,ETP,North Pacific,,,,2,,,"3,3"
37749,5.183333,-94.6,,E,,ETP IFS,LISA Ballance,,9/26/03,ETP,North Pacific,,,,0,,Sample missing as of 12/14/2012 per GSV.,"3,3,3"
37750,5.183333,-94.6,,E,,ETP IFS,LISA Ballance,,9/26/03,ETP,North Pacific,,,,0,,Sample missing as of 12/14/2012 per GSV.,"3,1,3"
37876,8.566666,-85.916666,,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,2,,,"3,3,3"
37877,8.566666,-85.916666,,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,3,,,"3,3,3"
37878,8.566666,-85.916666,,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,2,,,"3,3,3"
37879,8.566666,-85.916666,NA,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,"2,1",,", ","3,0,3"
37881,8.566666,-85.916666,NA,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,2,,,"1,3,3"
37882,8.566666,-85.916666,NA,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,2,,,"3,3,3"
37883,8.566666,-85.916666,,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,3,,,"2,3,3"
37885,8.566666,-85.916666,NA,E,,COSTA RICA,LISA Ballance,,11/22/03,ETP,North Pacific,,,,3,,,"0,3,3"
37897,25.583333,-119.266666,,2,,MEXICO IFS,LISA Ballance,,12/7/03,ETP,North Pacific,,,,3,,,"3,1,3"
38313,22.8,-116.616666,,E,,MEXICO IFS,LISA Ballance,,12/5/03,ETP,North Pacific,,,,3,,,"3,3,3"
67165,0.216666,-95.416666,,10,,ETP IFS,LISA Ballance,,10/17/06,ETP,North Pacific,,,,"4,4",,", ",3
30532,21.8,-160.7,,J,MHI,NI'IHAU,JAY BARLOW,,11/24/02,HI,North Pacific,Extra3,,,4,393,,3
33949,21.85,-159.95,,J,MHI,NI'IHAU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/31/03,HI,North Pacific,Extra3,,,4,18,,3
33798,20.733333,-157.116666,mtGen01,J,MHI,LANAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/16/03,HI,North Pacific,Pac4,,,"3,0","11, NA",", Sample missing per A.VanCise as of 10/21/2016",3
33814,20.716666,-157.133333,mtGen18,J,MHI,LANAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/17/03,HI,North Pacific,Pac4,,,"4,3,3","12, NA, NA",", , ",3
33851,21.516666,-158.35,mtGen01,J,MHI,OAHU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/24/03,HI,North Pacific,Pac4,,,"4,3,3","13, NA, NA",", , ",3
33852,21.516666,-158.35,mtGen01,J,MHI,OAHU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/24/03,HI,North Pacific,Pac4,,,"4,3","8, NA",", ",3
33941,21.85,-159.95,mtGen01,J,MHI,NI'IHAU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/31/03,HI,North Pacific,Pac4,,,"3,0","16, NA",", Sample missing per A.VanCise as of 10/21/2016",3
45934,19.766666,-156.1,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/14/04,HI,North Pacific,Pac4,,,"3,2,2,3",,", , , ",3
55234,19.55,-156.033333,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,3/20/06,HI,North Pacific,Pac4,,,"4,2",,", ",3
55239,19.433333,-155.983333,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,3/22/06,HI,North Pacific,Pac4,,,"3,3",,", ",3
79992,19.383333,-155.95,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/24/09,HI,North Pacific,Pac4,,,"3,3,3",,", , ",2
92242,21.583333,-158.35,mtGen18,J,MHI,OAHU,ERIN OLESON,Donator requested that PI request permission to use in study,10/4/09,HI,North Pacific,Pac4,,,3,,,3
102494,20.983333,-158.133333,mtGen01,J,MHI,OAHU,ROBIN BAIRD,Donator requested that PI request permission to use in study,10/19/10,HI,North Pacific,Pac4,,,"3,2",,", ",1
112652,19.38733,-155.93259,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,8/30/12,HI,North Pacific,Pac4,,,"2,2",,", ",2
112653,19.38733,-155.93259,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,8/30/12,HI,North Pacific,Pac4,,,"2,1,2","70.26, 22.09, 164.89",", , ",3
113653,20.74574,-157.09496,mtGen01,J,MHI,LANAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,12/15/12,HI,North Pacific,Pac4,,,2,,,3
114352,19.84409,-156.14491,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,12/2/08,HI,North Pacific,Pac4,,,"3,2","130.51, NA",", ",3
114354,19.74095,-156.15067,mtGen01,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,12/14/08,HI,North Pacific,Pac4,,,"2,2","366.97, NA",", ",3
88594,19.766666,-156.1,mtGen05,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,10/26/09,HI,North Pacific,Pac6,,,"2,2,3",,"low/reconstituted, , ",3
114565,22.25793,-159.74695,mtGen05,J,MHI,KAUAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,2/8/13,HI,North Pacific,Pac6,,,"3,2,2",,", , ",3
34,21.55,-157.866666,,J,,SWFSC-HI,DAVID SCHOFIELD,,5/8/84,HI,North Pacific,,,,3,820,,"3,3"
11478,19.333333,-156.066666,,J,MHI,BIG ISLAND,TIM GERRODETTE,,8/26/98,HI,North Pacific,,,,3,105,,"3,0"
11479,19.333333,-156.066666,,J,MHI,BIG ISLAND,TIM GERRODETTE,,8/26/98,HI,North Pacific,,,,4,275,,"3,0"
11481,19.333333,-156.066666,,J,MHI,BIG ISLAND,TIM GERRODETTE,,8/26/98,HI,North Pacific,,,,"4,3",,", ","3,0"
11482,19.333333,-156.066666,,J,MHI,BIG ISLAND,TIM GERRODETTE,,8/26/98,HI,North Pacific,,,,3,208,,"3,0"
11483,19.333333,-156.066666,,J,MHI,BIG ISLAND,TIM GERRODETTE,,8/26/98,HI,North Pacific,,,,4,233,,"3,0"
11484,19.333333,-156.066666,,J,MHI,BIG ISLAND,TIM GERRODETTE,,8/26/98,HI,North Pacific,,,,3,268,,"3,0"
18528,19.233333,-155.983333,,J,MHI,KONA COAST,LISA Ballance,,8/24/00,HI,North Pacific,,,,,580,,3
18529,19.233333,-155.983333,,J,MHI,KONA COAST,LISA Ballance,,8/24/00,HI,North Pacific,,,,"3,3","405, NA",", ",3
18530,19.233333,-155.983333,,J,MHI,KONA COAST,LISA Ballance,,8/24/00,HI,North Pacific,,,,3,420,,3
18531,19.233333,-155.983333,,J,MHI,KONA COAST,LISA Ballance,,8/24/00,HI,North Pacific,,,,,378,,3
18532,19.233333,-155.983333,,J,MHI,KONA COAST,LISA Ballance,,8/24/00,HI,North Pacific,,,,1,460,,3
18533,19.233333,-155.983333,,J,MHI,KONA COAST,LISA Ballance,,8/24/00,HI,North Pacific,,,,4,278,,3
18939,21,-157,,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/5/00,HI,North Pacific,,,,3,443,,"3,0"
18940,21,-157,,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/5/00,HI,North Pacific,,,,4,258,,"0,0"
18942,21,-157,,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/5/00,HI,North Pacific,,,,3,228,,"0,0"
18947,21,-157.666666,,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/11/00,HI,North Pacific,,,,"2,2,4,3",,", , , ","3,3"
18948,21,-157.666666,,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/11/00,HI,North Pacific,,,,4,,,"3,3"
18951,21,-157,,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/19/00,HI,North Pacific,,,,"4,3,0,0,0,0",,", , DNA used up per A.VanCise 10/21/2016, DNA used up per A.VanCise 10/21/2016, DNA used up per A.VanCise 10/21/2016, DNA used up per A.VanCise 10/21/2016","3,0"
18952,21,-157,,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/19/00,HI,North Pacific,,,,4,,,"2,0"
27398,19.633333,-156.066666,,J,MHI,KONA COAST,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/4/02,HI,North Pacific,,,,1,,,2
27407,19.3,-155.95,,J,MHI,KONA COAST,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/7/02,HI,North Pacific,,,,1,1355,,2
27408,19.3,-155.95,,J,MHI,KONA COAST,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/7/02,HI,North Pacific,,,,1,,,0
27409,19.3,-155.95,,J,MHI,KONA COAST,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/7/02,HI,North Pacific,,,,1,,,2
27410,19.3,-155.95,,J,MHI,KONA COAST,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/7/02,HI,North Pacific,,,,1,,,2
27412,19.55,-156.033333,,J,MHI,KONA COAST,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/8/02,HI,North Pacific,,,,2,4010,,0
27417,19.533333,-156.033333,,J,MHI,KONA COAST,ROBIN BAIRD,Donator requested that PI request permission to use in study,4/13/02,HI,North Pacific,,,,2,,,2
30056,19.6,-156.05,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/25/02,HI,North Pacific,,,,4,,,3
30059,19.6,-156.05,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/25/02,HI,North Pacific,,,,4,,,3
30060,19.6,-156.05,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/25/02,HI,North Pacific,,,,"4,3",,", ",3
30061,19.7,-156.083333,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/25/02,HI,North Pacific,,,,4,,,3
30062,19.7,-156.083333,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/25/02,HI,North Pacific,,,,4,,,3
30069,19.616666,-156.083333,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,9/29/02,HI,North Pacific,,,,4,,,3
