Steno_archive_dump_4June2024_LabID,Steno_DID_D_ID,dbo_vw_DNA_Storage_LabID,CellStatus,Freezer,Freezer_Description,Rack,Box,Row,Column,T_ID,DNAInStock,DNA_Type,DQuant,DQuant_Description,CheckedOut,Checked_Out_By,Checked_Out_For,Steno_DID_Comments,Batch_.,Extracted_By,Extraction_Date,Extraction_Comments,InventoryDate,Inventory_Tech,Accession_Date,Steno_DID_Edit_User,Steno_DID_Edit_Date,Steno_DID_Record_Creation_Date,Concentration_ID,dbo_vw_DNA_Concentration_D_ID,Quantification_Date,Done_by_Name,Equipment_Method,Concentration_ng_ul,Concentration_260_280,Concentration_260_230,Quantity_Copies,Assay,dbo_vw_DNA_Concentration_Comments,dbo_vw_DNA_Concentration_Edit_User,dbo_vw_DNA_Concentration_Edit_Date,dbo_vw_DNA_Concentration_Record_Creation_Date
18468,5154,18468,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,6,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
18469,5155,18469,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,7,,Y,Genomic DNA,1,<=10ul,N,,,"Entire DNA sample loaned to Scott Baker's Lab., found in re-labeling 01/13/2012. Alaina Harmon, 5 March 2024: Present in collection. Quant never about 0 in vial history, so changing Quant to 1 to show that it is present.",,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
18469,5156,18469,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,8,,Y,Genomic DNA,4,>50ul,N,,,"Alaina Harmon, 5 March 2024: Not found in collection.",,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2396,5156,,,,14,,,,,,Dan Prosperi,5/19/14,5/19/14
30452,5157,30452,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,9,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,6/10/19,6/28/12,2397,5157,,,,32,,,,,,Dan Prosperi,5/19/14,5/19/14
30452,5157,30452,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,9,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,6/10/19,6/28/12,61917,5157,11/17/18,Kelly Robertson,Victor Fluorometry,364.57,,,,,,Gabriela Serra-Valente,6/10/19,5/29/19
30452,62444,30452,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,5,31741,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
30452,62444,30452,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,5,31741,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
30452,103628,30452,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1027,J,5,31741,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2005,Kelly Robertson,9/4/18,,,,9/10/18,Alaina Harmon,2/9/22,9/10/18,,,,,,,,,,,,,,
30453,5158,30453,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,1,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2398,5158,,,,24,,,,,,Dan Prosperi,5/19/14,5/19/14
30454,53053,30454,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,4,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
30503,5159,30503,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,2,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
30503,5160,30503,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,3,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2399,5160,,,,23,,,,,,Dan Prosperi,5/19/14,5/19/14
30504,5161,30504,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,4,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2400,5161,,,,41,,,,,,Dan Prosperi,5/19/14,5/19/14
30517,5162,30517,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,5,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2401,5162,,,,30,,,,,,Dan Prosperi,5/19/14,5/19/14
33849,5163,33849,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,6,,Y,Genomic DNA,1,<=10ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2402,5163,,,,76,,,,,,Dan Prosperi,5/19/14,5/19/14
33850,5164,33850,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,7,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2403,5164,,,,36,,,,,,Dan Prosperi,5/19/14,5/19/14
33964,5165,33964,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,8,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2404,5165,,,,33,,,,,,Dan Prosperi,5/19/14,5/19/14
33965,5166,33965,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,G,9,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2405,5166,,,,7,,,,,,Dan Prosperi,5/19/14,5/19/14
33965,53054,33965,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,5,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
33966,5167,33966,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,1,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2406,5167,,,,49,,,,,,Dan Prosperi,5/19/14,5/19/14
33966,62445,33966,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,6,35759,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
33966,62445,33966,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,6,35759,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
33987,5168,33987,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,2,,Y,Genomic DNA,1,<=10ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2407,5168,,,,137,,,,,,Dan Prosperi,5/19/14,5/19/14
33988,5169,33988,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,3,,Y,Genomic DNA,1,<=10ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2408,5169,,,,14,,,,,,Dan Prosperi,5/19/14,5/19/14
33988,53055,33988,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,6,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
33989,5170,33989,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,4,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2409,5170,,,,23,,,,,,Dan Prosperi,5/19/14,5/19/14
33993,5171,33993,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,5,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2410,5171,,,,29,,,,,,Dan Prosperi,5/19/14,5/19/14
33994,5172,33994,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,6,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2411,5172,,,,40,,,,,,Dan Prosperi,5/19/14,5/19/14
33994,62446,33994,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,7,35787,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,22474,62446,3/21/14,Kelly Robertson,Victor Fluorometry,0,,,,,,Dan Prosperi,5/23/14,5/19/14
33994,62446,33994,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,7,35787,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,22474,62446,3/21/14,Kelly Robertson,Victor Fluorometry,0,,,,,,Dan Prosperi,5/23/14,5/19/14
33995,5173,33995,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,7,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2412,5173,,,,5,,,,,,Dan Prosperi,5/19/14,5/19/14
33995,62447,33995,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,8,35788,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,22475,62447,3/21/14,Kelly Robertson,Victor Fluorometry,0,,,,,,Dan Prosperi,5/23/14,5/19/14
33995,62447,33995,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,8,35788,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,22475,62447,3/21/14,Kelly Robertson,Victor Fluorometry,0,,,,,,Dan Prosperi,5/23/14,5/19/14
33996,5174,33996,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,8,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2413,5174,,,,22,,,,,,Dan Prosperi,5/19/14,5/19/14
33996,62448,33996,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,9,35789,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,22476,62448,3/21/14,Kelly Robertson,Victor Fluorometry,0.68,,,,,,Dan Prosperi,5/23/14,5/19/14
33996,62448,33996,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,G,9,35789,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,22476,62448,3/21/14,Kelly Robertson,Victor Fluorometry,0.68,,,,,,Dan Prosperi,5/23/14,5/19/14
33997,5175,33997,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,H,9,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2414,5175,,,,25,,,,,,Dan Prosperi,5/19/14,5/19/14
33997,62449,33997,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,1,35790,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,22477,62449,3/21/14,Kelly Robertson,Victor Fluorometry,0,,,,,,Dan Prosperi,5/23/14,5/19/14
33997,62449,33997,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,1,35790,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,22477,62449,3/21/14,Kelly Robertson,Victor Fluorometry,0,,,,,,Dan Prosperi,5/23/14,5/19/14
33997,103626,33997,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1027,J,3,35790,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2005,Kelly Robertson,9/4/18,,,,9/10/18,Alaina Harmon,2/9/22,9/10/18,,,,,,,,,,,,,,
33998,5176,33998,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,1,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2415,5176,,,,25,,,,,,Dan Prosperi,5/19/14,5/19/14
33999,5177,33999,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,2,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2416,5177,,,,104,,,,,,Dan Prosperi,5/19/14,5/19/14
34000,5178,34000,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,3,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,,,,,,,,,,,,,,
34000,46348,34000,1,F5,"-80C chest freezer, Bone Room DNA",1,2,D,7,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,,,,Dan Prosperi,4/24/09,6/28/12,8191,46348,,,,6,,,,,,Dan Prosperi,5/19/14,5/19/14
34000,62450,34000,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,2,35793,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34000,62450,34000,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,2,35793,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34001,5179,34001,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,4,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2417,5179,,,,57,,,,,,Dan Prosperi,5/19/14,5/19/14
34020,5180,34020,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,5,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2418,5180,,,,60,,,,,,Dan Prosperi,5/19/14,5/19/14
34020,53056,34020,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,7,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34021,5181,34021,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,6,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2419,5181,,,,43,,,,,,Dan Prosperi,5/19/14,5/19/14
34038,5182,34038,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,7,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,3/4/20,6/28/12,2420,5182,,,,10,,,,,,Dan Prosperi,5/19/14,5/19/14
34038,62451,34038,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,3,35831,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34038,62451,34038,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,3,35831,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34039,5183,34039,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,8,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2421,5183,,,,8,,,,,,Dan Prosperi,5/19/14,5/19/14
34039,62452,34039,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,4,35832,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34039,62452,34039,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,4,35832,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34040,5184,34040,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,I,9,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2422,5184,,,,9,,,,,,Dan Prosperi,5/19/14,5/19/14
34040,53057,34040,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,8,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34041,5227,34041,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,E,7,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2432,5227,,,,9,,,,,,Dan Prosperi,5/19/14,5/19/14
34041,62453,34041,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,5,35834,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34041,62453,34041,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,5,35834,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34042,5228,34042,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,E,8,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2433,5228,,,,10,,,,,,Dan Prosperi,5/19/14,5/19/14
34042,62454,34042,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,6,35835,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34042,62454,34042,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,6,35835,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34043,5229,34043,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,E,9,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2434,5229,,,,13,,,,,,Dan Prosperi,5/19/14,5/19/14
34043,53058,34043,-1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,499,I,9,,N,Genomic DNA,0,None left,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34044,5230,34044,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,1,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2435,5230,,,,14,,,,,,Dan Prosperi,5/19/14,5/19/14
34044,62455,34044,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,7,35837,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34044,62455,34044,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,7,35837,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34045,5231,34045,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,2,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2436,5231,,,,11,,,,,,Dan Prosperi,5/19/14,5/19/14
34046,5232,34046,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,3,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2437,5232,,,,7,,,,,,Dan Prosperi,5/19/14,5/19/14
34046,53059,34046,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",2,500,A,1,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,378,Jake Minich,4/13/10,steno 2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34047,5233,34047,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,4,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2438,5233,,,,16,,,,,,Dan Prosperi,5/19/14,5/19/14
34047,62456,34047,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,8,35840,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34047,62456,34047,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,8,35840,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34056,5234,34056,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,5,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2439,5234,,,,16,,,,,,Dan Prosperi,5/19/14,5/19/14
34056,62457,34056,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,9,35849,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34056,62457,34056,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,H,9,35849,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34057,5235,34057,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,6,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2440,5235,,,,18,,,,,,Dan Prosperi,5/19/14,5/19/14
34057,62458,34057,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,I,1,35850,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34057,62458,34057,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,I,1,35850,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34058,5236,34058,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,7,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2441,5236,,,,21,,,,,,Dan Prosperi,5/19/14,5/19/14
34058,62459,34058,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,I,2,35851,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,655,Jake Minich,6/23/11,HICEAS P2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34058,62459,34058,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,724,I,2,35851,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34059,5137,34059,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,7,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2389,5137,,,,33,,,,,,Dan Prosperi,5/19/14,5/19/14
34060,5237,34060,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,65,F,8,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2442,5237,,,,14,,,,,,Dan Prosperi,5/19/14,5/19/14
